personID,label,fullname,years,gender
299909,"Hunt, Isaac","Hunt, Isaac (1742-1809)",1742-1809,Man
RN-ORG-0096,,,,
55150,"Manley, Harrison","Manley, Harrison (1740-1773)",1740-1773,Man
303623,"Cruger, Tileman","Cruger, Tileman (Teleman) (son of Henry Cruger, Sr., brother of John Harris, Henry, Jr., and Nicholas Cruger)",-,Man
264616,"Newton, William","Newton, William (of Saint Croix)",-,Man
349175,"Home, Agatha Drummond","Home, Agatha Drummond",1711-1795,Woman
301408,"Ashburner, Thomas","Ashburner, Thomas",-,Man
RN-PER-0279,,,,
347487,"Blunt, Dorothea","Blunt, Dorothea",1733-1809,Woman
245765,"Cruger, John Harris","Cruger, John Harris (1737-1807)",1737-1807,Man
RN-PER-0798,,,,
347244,"Bache, Mary Blechynden","Bache, Mary Blechynden",-,Woman
48678,"Bache, Richard","Bache, Richard (1737-1811)",1737-1811,Man
59680,"Washington, Samuel","Washington, Samuel (1734-1781)",1734-1781,Man
240577,"Bollan, William","Bollan, William",1710-1776,Man
52698,"Graves, Richard Croshor","Graves, Richard Croshor (1735-1798)",1735-1798,Man
53412,"Hill, James","Hill, James (1736-1802)",1736-1802,Man
58237,"Smith, Richard","Smith, Richard (1735-1803)",1735-1803,Man
56770,"Pettit, Charles","Pettit, Charles (1736-1806)",1736-1806,Man
60053,"Williams, Jonathan","Williams, Jonathan (1750-1815)",1750-1815,Man
56686,"Pendleton, John","Pendleton, John (1719-1799)",1719-1799,Man
239158,"Addenbrooke, Thomas","Addenbrooke, Thomas",-,Man
RN-PER-0265,,,,
59743,"Wayles, John","Wayles, John (1715-1773)",1715-1773,Man
51100,"Dandridge, Bartholomew","Dandridge, Bartholomew (1737-1785)",1737-1785,Man
RN-ORG-0196,,,,
48916,"Bassett, Burwell","Bassett, Burwell (1734-1793)",1734-1793,Man
310484,"Davenport, Joseph Matthews","Davenport, Joseph Matthews",1758-1793,Man
53956,"Jay, John","Jay, John (1745-1829)",1745-1829,Man
54199,"Kempe, John Tabor","Kempe, John Tabor (1735-1795)",1735-1795,Man
338147,"Pinckney, Eliza Lucas","Pinckney, Eliza Lucas (1722-1793)",1722-1793,Woman
276379,"Walsh, John","Walsh, John",-,Man
57074,"Pringle, John","Pringle, John (1707-1782)",1707-1782,Man
RN-PER-0098,,,,
349749,"Maseres, Francis","Maseres, Francis",1731-1824,Man
57820,"Schuyler, Philip John","Schuyler, Philip John (1733-1804)",1733-1804,Man
RN-PER-0817,,,,
53139,"Harrison, Robert Hanson","Harrison, Robert Hanson (1745-1790)",1745-1790,Man
RN-PER-0232,,,,
48674,"Babcock, Joshua","Babcock, Joshua (1707-1783)",1707-1783,Man
252816,"Greene, Catharine Littlefield","Greene, Catharine Littlefield (1755-1814)",1753-1814,Woman
350149,"Partridge, Elizabeth Hubbart","Partridge, Elizabeth Hubbart",1728-1814,Woman
59574,"Ward, Samuel, Jr.","Ward, Samuel, Jr. (1756-1832)",1756-1832,Man
350889,"Tissington, Anthony","Tissington, Anthony",-,Man
351064,"Walker, Hannah Farrow","Walker, Hannah Farrow",1724-,Woman
RN-PER-0782,,,,
300782,"Stevenson, Margaret","Stevenson, Margaret",-,Woman
51889,"Fairfax, Bryan","Fairfax, Bryan (1736-1802)",1736-1802,Man
56864,"Piper, Harry","Piper, Harry (d. 1780)",-1780,Man
48680,"Bache, Sarah Franklin","Bache, Sarah Franklin (1743-1808)",1743-1808,Woman
52931,"Hall, David","Hall, David (1714-1772)",1714-1772,Man
57209,"Randolph, Richard","Randolph, Richard (d. 1786)",1716-1786,Man
255412,"Hunter, George","Hunter, George (1713-1779)",1713-1779,Man
348675,"Garrigues, Rebecca Haydock","Garrigues, Rebecca Haydock",-,Woman
318099,"Morgan, John","Morgan, John (b. c. 1755)",1755-,Man
58211,"Smith, Joseph","Smith, Joseph (born c. 1751)",1751-,Man
58248,"Smith, Samuel","Smith, Samuel (1749-1836)",1749-1836,Man
53713,"Hume, David","Hume, David (1808-1857)",1808-1857,Man
57063,"Price, Richard","Price, Richard (1723-1791)",1723-1791,Man
286121,"Alleyne, John Foster","Alleyne, John Foster (1762-1823)",1762-1823,Man
350494,"Ronayne, Thomas","Ronayne, Thomas",-1800,Man
267979,"Rogers, Robert","Rogers, Robert (1731-1795)",1731-1795,Man
247465,"Cruger, Henry Jr.","Cruger, Henry Jr. (1739-1827)",1739-1827,Man
305548,"Gregg, Thomas","Gregg, Thomas",-,Man
365612,"Huske, John","Huske, John (1724-1773)",1724-1773,Man
348031,"Cowper, Lancelot","Cowper, Lancelot",-,Man
54019,"Johnson, John","Johnson, John (1745-1811, doctor; of Md.)",1745-1811,Man
59671,"Washington, Martha Dandridge Custis","Washington, Martha Dandridge Custis (1731-1802)",1731-1802,Woman
54035,"Johnson, Thomas, Jr.","Johnson, Thomas, Jr. (1732-1819)",1732-1819,Man
351103,"Wheeler, Richard","Wheeler, Richard",-,Man
RN-ORG-0281,,,,
348676,"Garth, Charles","Garth, Charles",1734-1784,Man
272894,"Small, Alexander","Small, Alexander",-,Man
52229,"Franklin, William Temple","Franklin, William Temple (1762-1823)",1762-1823,Man
49076,"Benezet, Anthony","Benezet, Anthony (1713-1784)",1713-1784,Man
305669,"Carter, James","Carter, James",-,Man
59012,"Tilghman, James, Jr.","Tilghman, James, Jr. (1748-1796)",1748-1796,Man
52345,"Galloway, Samuel","Galloway, Samuel (1720-1785)",1720-1785,Man
48750,"Balfour, James","Balfour, James (d. 1775)",-1775,Man
302634,"Venton, Ann Lytton","Venton, Ann Lytton",-,Woman
RN-PER-0453,,,,
347280,"Barclay, David, Jr.","Barclay, David, Jr. (1729-1809)",1729-1809,Man
348124,"Dawson, Richard","Dawson, Richard",-,Man
RN-PER-0001,,,,
299950,"James, Abel","James, Abel (1760-1820)",1760-1820,Man
347646,"Brownrigg, William","Brownrigg, William",1711-1800,Man
49377,"Boulton, Matthew","Boulton, Matthew (1728-1809)",1728-1809,Man
51635,"Du Pont de Nemours, Pierre Samuel","Du Pont de Nemours, Pierre Samuel (1739-1817)",1739-1817,Man
51623,"Murray, John, fourth earl of Dunmore","Murray, John, fourth earl of Dunmore (1732-1809)",1732-1809,Man
346016,"Alexander, William","Alexander, William (banker)",1729-1819,Man
263147,"Morellet, André","Morellet, André (1727-1819, Abbé)",1727-1819,Man
52408,"Gates, Horatio","Gates, Horatio (1728-1806)",1728-1806,Man
263296,"McCaul, Alexander","McCaul, Alexander",-,Man
51170,"Davidson, James","Davidson, James (1732-1809)",1732-1809,Man
RN-BUS-0088,,,,
58991,"Thorpe, Susanna","Thorpe, Susanna",-,Woman
318103,"Wood, William","Wood, William (b. c. 1754)",1754-,Man
51146,"Darwin, Erasmus","Darwin, Erasmus (1731-1802)",1731-1802,Man
48282,"Adams, Daniel Jenifer","Adams, Daniel Jenifer (1751-1796)",1751-1796,Man
50090,"Carlyle, John","Carlyle, John (1720-1780)",1720-1780,Man
RN-PER-0386,,,,
59733,"Watson, William","Watson, William (1730-1815)",1730-1815,Man
RN-PER-0819,,,,
246893,"Cavendish, Henry","Cavendish, Henry (1731-1810)",1731-1810,Man
58644,"Strettell, Amos","Strettell, Amos (1720-1780)",1720-1780,Man
RN-PER-0820,,,,
350897,"Toderini, Giambattista","Toderini, Giambattista",1728-1799,Man
299475,"Coombe, Thomas","Coombe, Thomas (c.1720-1799)",1720-1799,Man
274002,"Towers, Robert","Towers, Robert",-1779,Man
54507,"Leacock, Joseph","Leacock, Joseph (1735-1804)",1735-1804,Man
RN-PER-0751,,,,
347570,"Bowden, William","Bowden, William",-,Man
56683,"Pendleton, Edmund","Pendleton, Edmund (1721-1803)",1721-1803,Man
51913,"Falconer, Nathaniel","Falconer, Nathaniel (1729-1806)",1729-1806,Man
49934,"Cabell, William","Cabell, William (1730-1798)",1730-1798,Man
349298,"La Vrillière, Louis-Phélypeaux, duc de","La Vrillière, Louis-Phélypeaux, duc de",1705-1777,Man
RN-PER-0220,,,,
347456,"Biheron, Marie-Catherine","Biheron, Marie-Catherine",1719-1786,Woman
58481,"Stephenson, Hugh","Stephenson, Hugh (d. 1776)",-1776,Man
50704,"Connolly, John","Connolly, John (1743-1813)",1743-1813,Man
49312,"Bomford, Sarah","Bomford, Sarah",-,Woman
348939,"Hare-Naylor, Georgiana Shipley","Hare-Naylor, Georgiana Shipley",1756-1806,Woman
242467,"Belgioioso-Este, Ludovico Antonio Barbiano, Count di","Belgioioso-Este, Ludovico Antonio Barbiano, Count di",1728-1803,Man
54707,"Lewis, John","Lewis, John (1720-1794)",1720-1794,Man
58075,"Simpson, Gilbert, Sr.","Simpson, Gilbert, Sr. (1699-1773)",1699-1773,Man
349133,"Jesser, --","Jesser, --",-,Man
248843,"Dixon, John","Dixon, John (c. 1740-1791)",1740-1791,Man
272580,"Saussure, Horace Bénédict de","Saussure, Horace Bénédict de",1740-1799,Man
49482,"Bradford, William","Bradford, William (1739-1794, of Md.)",1739-1794,Man
53837,"Inglis, Samuel","Inglis, Samuel (1745-1783)",1745-1783,Man
129039,"Hutton, James","Hutton, James (1726-1797)",1726-1797,Man
55216,"Marshall, William","Marshall, William (1740-1802)",1740-1802,Man
RN-ORG-0043,,,,
351093,"Westerholt, Frederik Borchard Lodewijk van","Westerholt, Frederik Borchard Lodewijk van",1726-1775,Man
55530,"McMickan, Robert","McMickan, Robert",-,Man
365503,"Baynes, John","Baynes, John (1758-1787)",1758-1787,Man
RN-ORG-0301,,,,
55177,"Marchant, Henry","Marchant, Henry (1741-1796)",1741-1796,Man
52279,"Freneau, Philip","Freneau, Philip (1752-1832)",1752-1832,Man
RN-ORG-0300,,,,
305324,"Colden, David","Colden, David (son of Gov. Cadwallader Colden)",1733-1784,Man
53687,"Hughes, John","Hughes, John (1758-1826)",1758-1826,Man
251116,"Foxcroft, Thomas","Foxcroft, Thomas (d. 1785)",-1785,Man
49584,"Briscoe, John","Briscoe, John (1717-1788)",1717-1788,Man
339266,"Jones, Edward","Jones, Edward (1738-1829)",1738-1829,Man
51144,"Dartmouth, William Legge, second earl of","Dartmouth, William Legge, second earl of (1731-1801)",1731-1801,Man
48682,"Bache, Theophylact","Bache, Theophylact (1735-1807)",1735-1807,Man
RN-ORG-0188,,,,
RN-ORG-0407,,,,
240990,"Baker, Francis","Baker, Francis",-,Man
51894,"Fairfax, George William","Fairfax, George William (1727-1787)",1727-1787,Man
54694,"Lewis, Fielding, Sr.","Lewis, Fielding, Sr. (1725-1781)",1725-1781,Man
48302,"Adams, John Quincy","Adams, John Quincy (1767-1848)",1767-1848,Man
50883,"Cranch, Elizabeth Palmer","Cranch, Elizabeth Palmer (1744-1814)",1744-1814,Woman
56284,"Norton, Elizabeth Cranch","Norton, Elizabeth Cranch (1763-1811)",1763-1811,Woman
RN-PER-0549,,,,
120436,"Le Veillard, Geneviève Elisabeth Belamy","Le Veillard, Geneviève Elisabeth Belamy",-,Woman
300217,"Zane, Isaac","Zane, Isaac (1711-1794)",1711-1794,Man
55093,"Madison, James","Madison, James (1749-1812)",1749-1812,Man
263073,"Minor, John","Minor, John (1761-1816)",1761-1816,Man
350112,"O'Gorman, Thomas, chevalier","O'Gorman, Thomas, chevalier (1732-1809)",1732-1809,Man
RN-ORG-0413,,,,
RN-PER-0074,,,,
56202,"Newton, Thomas","Newton, Thomas (1742-1807)",1742-1807,Man
