DocumentID,Title,Author,Recipient,Date,Publication,Founders Online,Rotunda,authorIDs,recipientIDs,Location,geonameId,coordinates,latitude,longitude,country_code,country_name,admin1,admin2,hierarchy
FOEA-01-02-02-3786,"From George Washington to John Stark, 23 October 1782","Washington, George","Stark, John",1782-10-23,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3786,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3786,59627,58438,Head Quarters,,,,,,,,,
FOEA-01-02-02-3789,"From George Washington to Meshech Weare, 23 October 1782","Washington, George","Weare, Meshech",1782-10-23,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3789,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3789,59627,59750,Head Quarters,,,,,,,,,
FOEA-01-02-02-3793,"From George Washington to Ebenezer Hazard, 24 October 1782","Washington, George","Hazard, Ebenezer",1782-10-24,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3793,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3793,59627,53260,Head Quarters,,,,,,,,,
FOEA-01-02-02-3799,"From George Washington to John Hanson, 25 October 1782","Washington, George","Hanson, John",1782-10-25,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3799,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3799,59627,256332,Head Quarters,,,,,,,,,
FOEA-01-02-02-3800,"From George Washington to John Hanson, 25 October 1782","Washington, George","Hanson, John",1782-10-25,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3800,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3800,59627,256332,Head Quarters,,,,,,,,,
FOEA-01-02-02-3803,"From George Washington to Anne-César, chevalier de La Luzerne, 25 October 1782","Washington, George","La Luzerne, Anne-César, chevalier de",1782-10-25,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3803,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3803,59627,54374,Head Quarters,,,,,,,,,
FOEA-01-02-02-3805,"From George Washington to Benjamin Lincoln, 25 October 1782","Washington, George","Lincoln, Benjamin, Sr.",1782-10-25,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3805,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3805,59627,54763,Head Quarters,,,,,,,,,
FOEA-01-02-02-3807,"From George Washington to Jean-Baptiste Donatien de Vimeur, comte de Rochambeau, 25 October 1782","Washington, George","Rochambeau, Jean-Baptiste Donatien de Vimeur, comte de",1782-10-25,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3807,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3807,59627,57499,Head Quarters,,,,,,,,,
FOEA-01-02-02-3809,"From George Washington to Louis-Philippe de Rigaud, marquis de Vaudreuil, 25 October 1782","Washington, George","Vaudreuil, Louis-Philippe de Rigaud, marquis de",1782-10-25,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3809,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3809,59627,59368,Head Quarters,,,,,,,,,
FOEA-01-02-02-3810,"From George Washington to Samuel Blachley Webb, 25 October 1782","Washington, George","Webb, Samuel Blachley",1782-10-25,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3810,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3810,59627,59773,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3813,"From George Washington to James Potter, 26 October 1782","Washington, George","Potter, James",1782-10-26,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3813,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3813,59627,56987,Head Quarters,,,,,,,,,
FOEA-01-02-02-3814,"From George Washington to Elisha Sheldon, 26 October 1782","Washington, George","Sheldon, Elisha",1782-10-26,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3814,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3814,59627,57983,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3816,"From George Washington to John Mitchell, 27 October 1782","Washington, George","Mitchell, John",1782-10-27,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3816,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3816,59627,55749,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
